label	1st	2nd	3rd	4th	5th
สปาเก็ตตี้คาโบราเมงหมูชาชู	สปาเก็ตตี้เพสโต้กุ้ง (0.41)	Vanilla White Coffee Frappe (0.40)	กะหล่ำดอกกริลล์ (0.38)	สปาเก็ตตี้เพสโต้แฮม (0.32)	สปาเก็ตตี้เพสโต้แซมมอล (0.26)
Fresh Passion Fruit	โทสต์ไข่เบเนดิกต์ (0.47)	โทสต์อาโวคาโด (0.36)	Hot Americano (0.34)	สปาเก็ตตี้ไวท์ซอสครีมเห็ด (0.32)	Iced Cappuccino (0.31)
Strawberry Yogurt Smoothie	ข้าวแกงกะหรี่ดั้งเดิม. (0.41)	Mix Berry Yogurt Smoothie (0.31)	Caramel Macchiato Frappe (0.31)	Hot Cappuccino (0.30)	สเต็กไก่ย่างพริกไทยดำ (0.26)
Kiwi & Passion Fruit Frappe	Extra_Parmesan Cheese (0.32)	ฮันนี่มิลค์เย็น (0.25)	ชามะนาว (0.20)	Apricot Cake (0.20)	หมูสามชั้น 1 สะโพกไก่ 1 (0.18)
Strawberry Frappe	กุ้งย่างยำปลาฮามาจิ (0.73)	ขนมปังกระเทียม (0.45)	ข้าวซูชิปลาแซลมอนสด. (0.39)	ซุปผักโขม (0.23)	สามชั้นสไลด์ (0.13)
ดับเบิ้ล แล็ค	Hot Espresso (0.75)	สปาเก็ตตี้ไวท์ซอสครีมเห็ดแชมปิยองแฮม (0.26)	ข้าวแกงกะหรี่ไก่ทอดโทริคัตสึ. (0.18)	สปาเก็ตตี้สามชีส (0.15)	Matcha Refill (0.15)
ปูอัดทอด ซอสทาร์ทาร์.	ไก่บดย่าง (0.51)	สันคอสไลต์ย่าง (0.51)	หัวใจไก่ย่าง (0.51)	สลัดปลาเงิน. (0.38)	Peach Soda (0.37)
Iced Caramel Macchiato	Iced Cappuccino (0.26)	Mix Berry Yogurt Smoothie (0.25)	ข้าวซูชิปลาแซลมอน~ปลาทูน่าสด อาโวคาโด (0.25)	Hot Peppermint Chocolate (0.21)	ซูชิดับเบิ้ลหน้ารวม (0.19)
หัวหอมทอดกรอบ	เต้าหู้ราดซอสญี่ปุ่น (0.53)	ราเมงบูตะชาชู. (0.42)	กุ้งเทมปุระ. (0.34)	Yuzu Soda (0.34)	ยำปลาแซลมอนสด. (0.32)
ปลาหมึกทอด คารามารี	สปาเก็ตตี้คาโบนาร่าซอสพริกศรีราชาไข่ออนเซ็น (0.30)	ชาไทย (0.24)	สปาเก็ตตี้เบคอนพริกแห้งผัดน้ำมันมะกอก (0.24)	Pannacotta Yuzu (0.23)	กึ๋นไก่ย่าง (0.23)
ปอเปี๊ยะเครื่องราเมง Signature	ข้าวไก่ทอดคาราเกะ. (0.64)	มอคค่าเย็น (0.54)	โรลแคลิฟอร์เนีย. (0.45)	วนิลาไวท์คอฟฟี่ร้อน (0.42)	I19เบคอนพันเห็ดเข็มทอง (0.38)
ราเมงบูตะชาชู.	หัวหอมทอดกรอบ (0.42)	ข้าวหน้าหมูสันคอสไลด์ผัดซอสเทอริยากิ. (0.38)	กุ้งทอดกรอบ ซอสทาร์ทาร์ (0.35)	ปลากระพงทอดราดซอสโชยุ + ยำแอปเปิ้ล (0.31)	Yuzu Soda (0.29)
Extraเป็นกุ้ง	ชารีฟิล (0.37)	ข้าวหน้าปลาแชลมอน~อโวคาโด~ไข่ปลา (0.33)	Kiwi & Passion Fruit Frappe (0.18)	สลัดปลาแซลมอนย่าง. (0.17)	I10ไก่บดทรงเครื่องซอสสไปซี่ (0.16)
Peach Soda	ปลากระพงทอดราดซอสโชยุ + ยำแอปเปิ้ล (0.48)	เค้กมะม่วงเสาวรส (0.38)	ปูอัดทอด ซอสทาร์ทาร์. (0.37)	Hot Matcha (0.32)	เค้กมะพร้าว (0.31)
กุ้งเทมปุระ.	ซูชิแชลมอนทาร์ทาร์ (0.69)	เต้าหู้ราดซอสญี่ปุ่น (0.47)	หัวหอมทอดกรอบ (0.34)	ฮามาจิ ซาชิมิ 5 ชิ้น (0.17)	สลัดปลาแซลมอนสด. (0.14)
สปาเก็ตตี้คาโบนาร่าซอสเผ็ดกุ้ง + ไข่กุ้ง	สปาเก็ตตี้หอยลายผัดพริกกระเทียม (0.29)	Kiwi & Passion Fruit (0.15)	Asahi can (0.13)	ปูอัดทอดกรอบ. (0.11)	กุ้งฝอยทอดกรอบ. (0.11)
สเต็กไก่ย่างพริกไทยดำ	สปาเก็ตตี้กุ้งผัดพริกขี้หนูสวน (0.36)	ซูชิแซลมอนสด . (0.33)	Peach Soda (0.30)	ทูน่า ซาชิมิ 5 ชิ้น (0.26)	Strawberry Yogurt Smoothie (0.26)
ข้าวหน้าปลาดิบรวม อโวคาโด	Asahi Large L (0.43)	strawberry milk (0.37)	lemon honey (0.34)	lemon honey soda (0.34)	lemon black tea (0.34)
I19เบคอนพันเห็ดเข็มทอง	โรลแคลิฟอร์เนีย. (0.45)	ปอเปี๊ยะเครื่องราเมง Signature (0.38)	I5ตับไก่ย่าง (0.35)	I15สะโพกไก่ย่าง (0.32)	I2เนื้อไก่ย่างวาซาบิ (0.30)
ข้าวหน้ากุ้งทอดเทมปุระ.	extra coffee (0.36)	สเต็กหมูพริกไทยดำ (0.27)	Thai Milk Tea Frappe (0.23)	ข้าวผัดสไปซี่ซีฟู้ดไข่ข้นปลาแซลมอนย่าง (0.23)	คีชผักโขม (0.20)
ซุปผักโขม	Iced Espresso (0.48)	ข้าวหน้าบูตะด้ง . (0.29)	Strawberry Frappe (0.23)	กุ้งย่างยำปลาฮามาจิ (0.23)	สปาเก็ตตี้ขี้เมาไก่กรอบ (0.22)
สปาเก็ตตี้ขี้เมาไก่กรอบ	Hot Latte (0.38)	อาหารเช้าไข่ข้นและแชมปิฌอง (0.29)	Iced Kiwi Soda (0.26)	ซุปผักโขม (0.22)	Hot Chocolate (0.22)
ข้าวหน้าเนื้อ นิกุด้ง.	P5. ซุปไวท์ครีมเห็ด (0.62)	Honey Lemon (0.51)	P25. สปาเก็ตตี้โบลองเนสซอสเผ็ดแฮมชีส (0.41)	P18. สปาเก็ตตี้ไวท์ซอสครีมไข่กุ้ง (0.31)	pannacotta (0.27)
Iced Kiwi Soda	Iced Honey Milk (0.42)	ข้าวซูชิปลาแซลมอนสด อโวคาโด (0.35)	โรลแซลมอนสไปซี่ + อโวคาโด. (0.28)	สปาเก็ตตี้ขี้เมาไก่กรอบ (0.26)	โทสต์ไข่เบเนดิกต์ (0.23)
English breakfast tea	Iced Americano (0.73)	สปาเก็ตตี้กุ้งผัดพริกขี้หนูสวน (0.57)	สปาเก็ตตี้ปลาแซลมอนคั่วพริกเกลือ (0.37)	โทสต์ไข่ข้นเห็ดแชมปิญอง (0.24)	extar shot (0.09)
ราเมงเนื้อสไลด์ออสเตรเลีย.	chicken extra (0.53)	ออเรนจ์โซดา (0.30)	เปปเปอร์มิ้นท์ช็อคโกแลตเย็น (0.30)	ชารีฟิล (0.29)	พานาคอตต้ายูซุ (0.28)
ไข่เจียวฟูปลาแซลมอน	Iced Lemon Honey Soda (0.43)	ข้าวซูชิปลาทูน่า อโวคาโด (0.42)	I13ไก่บดทรงเครื่องพริกรายู (0.38)	ราเมงไก่ทอดโทริคัตสึ. (0.37)	สลัดปลาแซลมอนสด. (0.35)
Iced Caramel Milk	Iced Earl Gray Tea (0.66)	Iced Peppermint Tea (0.66)	ขนมปังกระเทียม (0.56)	ฟิชแอนด์ชิปส์ (0.28)	สปาเก็ตตี้สาหร่ายไข่กุ้ง (0.24)
ไข่หวานญี่ปุ่น ออเดิร์ฟเย็น	ฮันนี่เลมอนเย็น (0.50)	โรลทูน่า อโวคาโด. (0.32)	เหล้าบ้วย (0.25)	I8หนังไก่ย่างเกลือ (0.24)	Matcha Refill (0.20)
ข้าวซูชิปลาแซลมอนสด.	สลัดญี่ปุ่น. (0.80)	Strawberry Frappe (0.39)	กุ้งย่างยำปลาฮามาจิ (0.31)	i18 หมู3ชั้นสไลด์ (0.23)	ข้าวหน้าหมูสันคอสันสไลด์ตุ๋นไข่. (0.22)
Brooklyn Shake	สลัดหมูทอดทงคัตสึ. (0.43)	Blue Classic Latte (0.36)	Hot Peppermint Chocolate (0.26)	Chocolate Banana Smoothie (0.25)	Iced Matcha Latte (0.22)
โทสต์ไข่เบเนดิกต์	Fresh Passion Fruit (0.47)	โทสต์อาโวคาโด (0.45)	Hot Honey Black Coffee (0.35)	Hot Americano (0.29)	Iced Kiwi Soda (0.23)
ข้าวหน้าบูตะด้ง .	ข้าวแกงกะหรี่หมูทอดทงคัตสึ. (0.37)	เต้าหู้ตุ๋นหัวปลาแซลมอนซีอิ๊วญี่ปุ่น (0.36)	ซุปผักโขม (0.29)	ปลากระพงทอดราดซอสโชยุ + ยำแอปเปิ้ล (0.28)	Hot Matcha (0.25)
Iced Chocolate	โทสต์ไข่ข้นเห็ดแชมปิญอง (0.46)	หอยเชล 2 (0.06)	ชาไทยเย็น (0.05)	Hot Thai Milk Tea (0.05)	Hot Cappuccino (0.05)
สเต็กแซลมอนย่าง	ยำมะม่วงอโวคาโด (0.69)	สัปรดปั่น (0.68)	น้ำเสาวรสปั่น (0.68)	มะม่วงปั่น (0.68)	โรลทูน่า อโวคาโด. (0.48)
ต้มยำกุ้ง	ข้าวหน้าหมูทอดทงคัตสึ. (0.76)	Matcha Refill (0.27)	สปาเก็ตตี้หอยเชลล์ผัดน้ำมันมะกอก (0.24)	Asahi Large L 3 ขวด (0.11)	ไข่เจียวฟูปลาแซลมอน (0.10)
ปลาแซลมอนสดดองซีอิ้วญี่ปุ่น	I6กึ๋นไก่ย่าง (0.45)	I2เนื้อไก่ย่างวาซาบิ (0.39)	กุ้งย่างยำปลาฮามาจิ (0.32)	มัทฉะรีฟีล (0.27)	I14ต้นหอมญี่ปุ่นอกไก่ (0.26)
กุ้งย่างยำปลาฮามาจิ	Strawberry Frappe (0.73)	ขนมปังกระเทียม (0.38)	ปลาแซลมอนสดดองซีอิ้วญี่ปุ่น (0.32)	ข้าวซูชิปลาแซลมอนสด. (0.31)	I6กึ๋นไก่ย่าง (0.24)
Blue Classic Latte	สลัดหมูทอดทงคัตสึ. (0.62)	Brooklyn Shake (0.36)	Chocolate Banana Smoothie (0.35)	StrawberryMilkCream (0.22)	Hot caramel macchiato (0.19)
Iced Vanilla Classic Blue	สลัดไก่คาราเกะ. (0.60)	ปลาเงินทอดกรอบ. (0.42)	Brooklyn Shake (0.22)	ราเมงไก่ทอดคาราเกะ. (0.21)	Iced Honey Black Coffee (0.19)
โทสต์ไข่ข้นผักโขมอาโวคาโดพร้อมซัลซ่ามะเขือเทศ	ซูชิแซลมอนสด . (0.46)	ข้าวหน้าหมูทอดทงคัตสึ. (0.29)	สปาเก็ตตี้โบลองเนสหมูซอสเผ็ด (0.20)	โรลกุ้งเทมปุระ. (0.18)	Extraไข่กุ้ง (0.15)
สเต็กเนื้อ	ไก่ทอดอาม่า (0.34)	ข้าวหน้าไก่ทอดโทริคัตสึด้งตุ๋นไข่. (0.31)	โค้ก (0.19)	ผัดผักซอสไซเคียว (0.19)	สปาเก็ตตี้สาหร่ายไข่กุ้ง (0.19)
ข้าวหน้าปลาแชลมอน~อโวคาโด~ไข่ปลา	คัปปุชชีโน่ปั่น (0.65)	ยำปูอัดพรีเมียม. (0.56)	Extraเป็นกุ้ง (0.33)	มัทฉะรีฟีล (0.27)	Thai Milk Tea Frappe (0.23)
แซนด์วิชแฮมชีสมาดาม	Hot Cappuccino (0.25)	Caramel Macchiato Frappe (0.23)	Hot Honey Milk (0.23)	Hot Americano (0.15)	โทสต์อาโวคาโด (0.14)
Strawberry Panna Cotta	Banana Pudding Cake (0.46)	Chocolate Frappe (0.44)	เค้กแฮมมิ่งเบริด์ (0.34)	Yuzu Panna Cotta (0.32)	สปาเก็ตตี้คาโบนาร่าซอสเผ็ดหอยเชลล์ไข่กุ้ง (0.24)
ข้าวหน้าแซลมอนแฮมเบิร์ก	ราเมงเห็ดโคนญี่ปุ่น. (0.54)	Hot Honey Milk (0.28)	Pannacotta Strawberry (0.25)	ชาไทย (0.21)	Hot Latte (0.20)
สลัดปลาเงิน.	เบคอนพันเห็ดเข็มทอง (0.55)	หมูสามชั้นย่าง (0.55)	ไก่บดย่าง (0.49)	หัวใจไก่ย่าง (0.49)	สันคอสไลต์ย่าง (0.49)
Iced Vanilla White Coffee	หนังปลาแซลมอนทอดกรอบ (0.89)	Matcha Espresso (0.79)	ปูอัดทอดกรอบ. (0.68)	ข้าวผัดซอสสไปซี่หมูเกาหลี (0.52)	Hot Latte (0.26)
Iced Strawberry Soda	สเต็กหมูพริกไทยดำ (0.61)	หนังไก่อย่าง (0.28)	Cranberry Chocolate cake (0.26)	Singha Large (0.25)	เฟรนฟรายด์ ทาทาร์มาโย (0.23)
เกี๊ยวซ่า 6 ชิ้น	ข้าวไก่ทอดคาราเกะ. (0.34)	ถั่วแขกผัดซอสโชยุ (0.32)	โรลแซลมอนสไปซี่ + อโวคาโด. (0.32)	ยำปลาแซลมอนสด. (0.31)	i16หมูสันคอสไลด์ (0.29)
สลัดปลาทูน่าสด	cake apple (0.91)	Matcha latte Frappe (0.32)	cake (0.31)	มัทฉะเอสเปรสโซ่เย็น (0.22)	ทาร์ตมะม่วงเสาวรส (0.21)
อาหารเช้าไข่ข้นและแชมปิฌอง	Thai style coffee (0.52)	Thai Style Coffee (0.52)	อเมริกาโน่ร้อน (0.36)	ฮันนี่แบล็คคอฟฟี่ร้อน (0.35)	Hot mocha (0.35)
Iced Orange Soda	Hot Matcha (0.33)	Carrot Cake (0.29)	I8หนังไก่ย่างเกลือ (0.19)	ฟิชแอนด์ชิปส์ (0.18)	สปาเก็ตตี้สาหร่ายไข่กุ้ง (0.17)
ข้าวหน้าฮาโก๊ะ Signature	i17 ตับหมู (0.49)	i6 กึ๋นไก่ย่าง (0.37)	Izakaya ย่างรวม 5 ไม้ (0.37)	สลัดกุ้งเทมปุระ. (0.35)	Mocha Frappe (0.29)
Orange	เพสโต้ทูน่าสด (0.55)	Passion Fruit Espresso (0.50)	สลัดปลาแซลมอนย่าง. (0.37)	ข้าวแกงกะหรี่ปลาแซลมอนย่าง. (0.20)	ซูชิแซลมอนสด . (0.17)
ข้าวหน้าไก่ทอดโทริคัตสึด้งตุ๋นไข่.	ผัดผักซอสไซเคียว (0.47)	หนังไก่อย่าง (0.32)	สเต็กเนื้อ (0.31)	Cranberry Chocolate cake (0.30)	ยำสาหร่ายวากาเมะ. (0.19)
ข้าวหน้าหมูทอดทงคัตสึ.	ต้มยำกุ้ง (0.76)	Matcha Refill (0.33)	โทสต์ไข่ข้นผักโขมอาโวคาโดพร้อมซัลซ่ามะเขือเทศ (0.29)	I9ไก่บดทรงเครื่องเทอริยากิ (0.27)	ซูชิแซลมอนสด . (0.24)
Chocolate Banana Smoothie	สลัดหมูทอดทงคัตสึ. (0.44)	หนังไก่อย่าง (0.38)	Cranberry Chocolate cake (0.36)	Blue Classic Latte (0.35)	Brooklyn Shake (0.25)
สปาเก็ตตี้ผัดฉ่ากุ้ง	มัทฉะ รีฟีล (0.69)	honey lemon (0.69)	สปาเก็ตตี้เบคอนพริกแห้งผัดน้ำมันมะกอก (0.38)	ฟิชแอนด์ชิปส์ (0.35)	Orange Cake (0.14)
สปาเก็ตตี้หอยลายผัดพริกกระเทียม	Kiwi & Passion Fruit (0.48)	คาลามารี (0.34)	สปาเก็ตตี้คาโบนาร่าซอสเผ็ดกุ้ง + ไข่กุ้ง (0.29)	Asahi Large M (0.27)	I1 เนื้อไก่ย่างเกลือ (0.06)
Chocolate Frappe	Strawberry Panna Cotta (0.44)	Orange Cake (0.41)	Banofeecake (0.32)	Yuzu Panna Cotta (0.32)	Cranberry Chocolate Cake (0.30)
Matcha Espresso	Iced Vanilla White Coffee (0.79)	หนังปลาแซลมอนทอดกรอบ (0.73)	ปูอัดทอดกรอบ. (0.60)	ข้าวผัดซอสสไปซี่หมูเกาหลี (0.48)	Hot Latte (0.28)
ราเมงไก่ทอดโทริคัตสึ.	ข้าวซูชิปลาทูน่า อโวคาโด (0.60)	สลัดปลาแซลมอนสด. (0.49)	เค้กช๊อกโกแลต (0.44)	Iced Lemon Honey Soda (0.40)	ไข่เจียวฟูปลาแซลมอน (0.37)
สปาเก็ตตี้ผัดเห็ดซอสญี่ปุ่น	English breakfast Tea cold (0.55)	Banofeecake (0.47)	Iced Honey Black Coffee (0.38)	โคโคนัทเอสเปรสโซ่เย็น (0.24)	Chocolate Frappe (0.18)
กุ้งทอดกรอบ ซอสทาร์ทาร์	ข้าวหน้าหมูสันคอสไลด์ผัดซอสเทอริยากิ. (0.81)	ราเมงบูตะชาชู. (0.35)	Asahi Large L (0.29)	สปาเก็ตตี้ปลาแซลมอนคั่วพริกเกลือ (0.13)	Coke (0.12)
ซูชิแซลมอน เลิฟเวอร์ .	ซูชิแซลมอนสด . (0.11)	สเต็กไก่ย่างพริกไทยดำ (0.10)	Orange Espresso (0.04)	Passion Fruit Espresso (0.04)	Iced Butterfly Pea Honey Lemon (0.03)
ข้าวหน้าหมูสันคอสไลด์ผัดซอสเทอริยากิ.	กุ้งทอดกรอบ ซอสทาร์ทาร์ (0.81)	ราเมงบูตะชาชู. (0.38)	Asahi Large L (0.32)	Orange Cake (0.19)	คาราเมลมัคคิอาโต้ร้อน (0.09)
ข้าวแกงกะหรี่ดั้งเดิม.	Hot Latte (0.44)	Strawberry Yogurt Smoothie (0.41)	Mix Berry Yogurt Smoothie (0.38)	อาหารเช้ากริลล์ผักรวมและไข่ข้น (0.19)	ไข่ปลาแซลมอน (0.05)
Fresh Passion Fruit Frappe	Lapiuma (0.82)	Asahi (0.45)	Asahi Can (0.43)	I2เนื้อไก่ย่างวาซาบิ (0.33)	คาลามารี (0.23)
Iced Lemon Honey Soda	ข้าวซูชิปลาทูน่า อโวคาโด (0.51)	สปาเก็ตตี้เพสโต้แซมมอล (0.44)	ไข่เจียวฟูปลาแซลมอน (0.43)	สลัดปลาแซลมอนสด. (0.42)	ข้าวซูชิปลาแซลมอน~ปลาทูน่าสด อาโวคาโด (0.41)
Extraเบคอน	I12 ไก่บดทรงเครื่องวาซาบิ (0.36)	น้ำผึ้งมะนาวร้อน (0.30)	Pure Mangos Teen (0.29)	Extra Bacon (0.24)	โทตส2แผ่น (0.24)
เหล้าบ้วย	I8หนังไก่ย่างเกลือ (0.72)	ข้าวหน้าปลาดิบรวม อโวคาโด (0.29)	ไข่หวานญี่ปุ่น ออเดิร์ฟเย็น (0.25)	แซลมอนซัลซ่ายูสุ (0.18)	ข้าวหน้าฮาโก๊ะ Signature (0.18)
เต้าหู้ราดซอสญี่ปุ่น	หัวหอมทอดกรอบ (0.53)	กุ้งเทมปุระ. (0.47)	Pannacotta Strawberry (0.34)	ชาไทย (0.31)	Pannacotta Yuzu (0.28)
Iced Mocha	สปาเก็ตตี้ไวท์ซอสผักโขมแฮม (0.42)	ไก่ทอดอาม่า (0.42)	Chocolate Frappe (0.21)	Strawberry Panna Cotta (0.11)	Yuzu Panna Cotta (0.10)
ถั่วแระญี่ปุ่น.	หมูสันคอสไลด์ (0.74)	cake (0.47)	Asahi Can (0.38)	เฟรนช์ฟรายด์ทาร์ทาร์ซอส (0.23)	เกี๊ยวซ่า 6 ชิ้น (0.23)
Extra หอยเชลล์	Honey lemon hot (0.19)	สปาเก็ตตี้หอยลายผัดพริกเผา (0.16)	Matcha Honey (0.15)	เบคอน (0.15)	P Cheese (0.14)
โรลปลาไหลย่างอโวคาโด.	Yuzu Soda Flower (0.50)	ข้าวซูชิปลาแซลมอนสด อโวคาโด (0.47)	Iced Thai Milk Tea (0.42)	ตับไก่ 1 (0.42)	เบคอนพันเห็ดเข็ม (0.42)
สปาเก็ตตี้ปูอัดญี่ปุ่นผัดซอสโชยุ	สปาเก็ตตี้ไวท์ซอสครีมไข่กุ้ง (0.34)	สปาเก็ตตี้หอยลายผัดพริกเผา (0.09)	บัตเตอร์ฟลายพีฮันนี่เลม่อนปั่น (0.09)	I19เบคอนพันเห็ดเข็มทอง (0.09)	I5ตับไก่ย่าง (0.08)
บูตะผัดมิโซะซอส	Banoffee Chocolate Caramel (0.28)	Extraเบคอน (0.20)	ถั่วแขกผัดซอสโชสุ (0.18)	ย่างรวม 5 ไม้ (0.17)	I12 ไก่บดทรงเครื่องวาซาบิ (0.16)
Banana Pudding Cake	Strawberry Panna Cotta (0.46)	ซีซ่าสลัด (0.36)	Vanilla White Coffee Frappe (0.34)	สปาเก็ตตี้ไส้กรอกคั่วพริกเกลือ (0.32)	สปาเก็ตตี้ขี้เมาไก่ + ไข่ออนเซ็น (0.30)
I13ไก่บดทรงเครื่องพริกรายู	I9ไก่บดทรงเครื่องเทอริยากิ (0.51)	I14ต้นหอมญี่ปุ่นอกไก่ (0.43)	ไข่เจียวฟูปลาแซลมอน (0.38)	I8หนังไก่ย่างเกลือ (0.35)	ยำมะม่วงอโวคาโด (0.23)
Caramel Milk Frappe	Cranberry Chocolate Cake (0.44)	ขนมปังกระเทียม (0.32)	สปาเก็ตตี้สามชีส (0.26)	Carrot Cake (0.25)	สปาเก็ตตี้ไก่กรอบคั่วพริกเกลือ (0.23)
โรลทูน่า อโวคาโด.	สเต็กแซลมอนย่าง (0.48)	ยำมะม่วงอโวคาโด (0.45)	มะม่วงปั่น (0.45)	สัปรดปั่น (0.45)	น้ำเสาวรสปั่น (0.45)
Peach Yuzu Soda	i16 หมูสันคอสไลด์ (0.61)	สปาเก็ตตี้โบลองเนสซอสเผ็ดแฮมชีส (0.37)	Yuzu Soda Flower (0.29)	ข้าวซูชิปลาแซลมอนสด อโวคาโด (0.28)	Asahi Can (0.27)
ข้าวซูชิปลาแซลมอนสด อโวคาโด	Yuzu Soda Flower (0.63)	เบคอนพันเห็ดเข็ม (0.57)	ตับไก่ 1 (0.57)	โรลปลาไหลย่างอโวคาโด. (0.47)	Iced Kiwi Soda (0.35)
ซูชิหน้าปลาดิบรวม	pannacotta (0.37)	Avocado (0.32)	ซีซ่าสลัด (0.24)	ทูน่า ซาชิมิ 5 ชิ้น (0.22)	แซลมอน ซาชิมิ 5 ชิ้น (0.15)
โรลแซลมอนสไปซี่ + อโวคาโด.	เทมปุระผักรวม (0.41)	เกี๊ยวซ่า 6 ชิ้น (0.32)	Iced Kiwi Soda (0.28)	ไก่ทอดคาราเกะ. (0.27)	Iced Honey Milk (0.25)
Extraกุ้ง	ถั่วแขกผัดซอสโชสุ (0.45)	ขนมปังอบชีส (0.42)	เนื้อไก่ย่างเกลือ (0.38)	Jasmine Refill (0.36)	ไวท์ (0.27)
กะหล่ำดอกกริลล์	สปาเก็ตตี้คาโบราเมงหมูชาชู (0.38)	สปาเก็ตตี้สามชีส (0.34)	Honey Lemon Espresso (0.28)	ซุปผักโขม (0.22)	I5ตับไก่ย่าง (0.20)
หอยปีกนก ซาชิมิ 5 ชิ้น	ถั่วแขกผัดซอสโชสุ (0.50)	หมูสามชั้น 1 สะโพกไก่ 1 (0.49)	ซัลซ่าเนื้อออสเตรเลียสไลด์ย่าง (0.48)	singha Beer (0.39)	ชาเขียวรีฟีล (0.28)
Bread Garlic 3 pices	hot tea (0.00)	เต้าหู้ราดซอสญี่ปุ่น (0.00)	Banana Pudding Cake (0.00)	บูตะผัดมิโซะซอส (0.00)	สปาเก็ตตี้ปูอัดญี่ปุ่นผัดซอสโชยุ (0.00)
ราเมงเห็ดโคนญี่ปุ่น.	ข้าวหน้าแซลมอนแฮมเบิร์ก (0.54)	โรลแซลมอนพ่นไฟ ซอสไซเกียว. (0.51)	strawberry milk (0.33)	lemon black tea (0.31)	lemon honey soda (0.31)
Extraอาโวคาโด	Horacha Refill การ้อน (0.62)	Chocolate Peppermint Frappe (0.24)	hot tea (0.23)	Banoffee Cake (0.23)	I18หมูสามชั้นสไลด์ (0.22)
สปาเก็ตตี้โบลองเนสหมูซอสเผ็ดไข่ออนเซ็น	ไก่กรอบคั่วพริกเกลือ (0.27)	Kiwi & Passion Fruit (0.20)	สปาเก็ตตี้ภูเขาไฟไข่กุ้ง (0.17)	Honey Lemon Soda (0.15)	เค้กฮัมมิงเบิร์ด (0.14)
Latte Frappe	Hot caramel macchiato (0.51)	ขนมปังโทสต์ (0.31)	banoffee (0.28)	Hot Caramel Milk (0.23)	Blue Classic Latte (0.18)
ยำกุ้งสด	I4เนื้อไก่ย่างขิงหอม (0.00)	Apricot Cake (0.00)	PUDDINGBANANA (0.00)	ฮันนี่มิลค์เย็น (0.00)	สปาเกตตีเพสโต้กุ้ง (0.00)
ไส้กรอกย่างอาราบิกิ.	P1. สปาเก็ตตี้คาโบนาร่าซอสพริกศรีราชาไข่ออนเซ็น (0.62)	P24. สปาเก็ตตี้โบลองเนสหมูซอสเผ็ดไข่ออนเซ็น (0.62)	โรลแซลมอนสไปซี่ + อโวคาโด. (0.19)	สปาเก็ตตี้คาโบราเมงหมูชาชู (0.19)	กะหล่ำดอกกริลล์ (0.14)
Asahi Can	Fresh Passion Fruit Frappe (0.43)	ตับไก่ (0.43)	สะโพกไก่ (0.40)	ตับหมู (0.39)	Lapiuma (0.38)
ยำเห็ดย่าง.	ไก่ทอดคาราเกะ. (0.36)	ข้าวปลาแซลมอนย่าง (0.34)	Ice americano (0.30)	lemon cake (0.23)	โรลแซลมอนสไปซี่ + อโวคาโด. (0.21)
เทมปุระผักรวม	กุ้งทอดคั่วพริกเกลือ. (0.47)	ไก่ทอดคาราเกะ. (0.46)	โรลแซลมอนสไปซี่ + อโวคาโด. (0.41)	Asahi Can (0.29)	Singha Large (0.29)
ไก่ทอดคาราเกะ.	เทมปุระผักรวม (0.46)	กุ้งทอดคั่วพริกเกลือ. (0.41)	ยำเห็ดย่าง. (0.36)	ไก่ย่างเกลือ (0.32)	ข้าวปลาแซลมอนย่าง. (0.31)
เบคอนพันเห็ดเข็มทอง	สลัดปลาเงิน. (0.55)	Asahi Large L (0.33)	ราเมงหมูทอดทงคัตสึ. (0.32)	หมูสามชั้น 1 สะโพกไก่ 1 (0.02)	ต้มแซ่บหมู (0.01)
ฮามาจิ ซาชิมิ 5 ชิ้น	ซูชิรวม แพ็คคู่ (0.57)	ย่างรวม 5 ไม้ (0.35)	ยำปลาทูน่าสด. (0.22)	โรลแซลมอนอโวคาโด ซอสเทอริยากิ (0.22)	ข้าวหน้าปลาไหลย่างซีอิ้ว. (0.20)
Iced Honey Black Coffee	English breakfast Tea cold (0.64)	Banofeecake (0.55)	Banafee (0.43)	Cold Earl Gray Tea (0.43)	สปาเก็ตตี้ผัดเห็ดซอสญี่ปุ่น (0.38)
I10ไก่บดทรงเครื่องซอสสไปซี่	I14ต้นหอมญี่ปุ่นอกไก่ (0.51)	I6กึ๋นไก่ย่าง (0.46)	I17ตับหมู (0.39)	I1 เนื้อไก่ย่างเกลือ (0.36)	I16หมูสันคอสไลด์ (0.34)
Extraชีส	Strawberry flavoured ceylon black tea (0.23)	Sing Reserve (0.13)	สลัดหมูทอดทงคัตสึ. (0.12)	ยำผลไม้ (0.12)	พานาคอตต้ายูซุ (0.12)
ข้าวไข่ข้นภูเขาไฟไข่ระเบิด	เค้กพุดดิ้งกล้วยหอม (0.53)	ยำผลไม้ (0.20)	ไก่กรอบคั่วพริกเกลือ (0.17)	หมูมะนาว (0.16)	สปาเก็ตตี้คาโบนาร่า (0.15)
Hot Espresso	ดับเบิ้ล แล็ค (0.75)	chicken extra (0.07)	Iced Matcha Latte (0.06)	Hot Peppermint Chocolate (0.05)	Hot Caramel Macchiato (0.05)
