label	1st	2nd	3rd	4th	5th
R08 ข้าวไก่ทอดราดซอสเลม่อน	A08 ฮ็อกไกโดชีสสติ๊ก (0.47)	A04 ซอสส้ม/เฟรนช์ฟรายส์ (0.42)	R07 ข้าวคลุกสาหร่ายไก่ทอดเกาหลี (0.40)	R05 ข้าวผัดกิมจิไก่ทอด (0.39)	C10 สะโพก ไก่ทอดเกาหลี (0.38)
R13 ข้าวไก่ทอดพริกกระเทียม	ซุปกิมจิ (0.37)	A01 โควสลอว์ (0.20)	ข้าวไก่ทอดลาด ไข่ดองซีอิ้ว + น้ำอัดลม (0.19)	ไก่ทอดเกาหลี Size M (0.19)	C03 ปีก ไก่ทอดเกาหลี (0.18)
A10 ไก่ป๊อปราดชีสซอส	C10 สะโพก ไก่ทอดเกาหลี (0.57)	R07 ข้าวคลุกสาหร่ายไก่ทอดเกาหลี (0.56)	N02 บะหมี่เกาหลีน้ำ (0.54)	ข้าวผัดกิมจิไก่ทอด ไข่ข้นลาวา (0.53)	D07 บ๊วยโซดา (0.51)
A07 ทาโกยากิ	K06 ไก่ทอดเกาหลี (0.64)	A09 ไก่ป๊อปเกาหลี (0.63)	D08 แตงโมโซดา (0.58)	N01 บะหมี่แห้งไก่ทอดรสเผ็ด (0.57)	ข้าวไก่ทอดลาด ไข่ดองซีอิ้ว + น้ำอัดลม (0.57)
C05 น่อง ไก่ทอดเกาหลี	ข้าวไก่ทอดลาบกระเทียมกรอบ ไข่ดองซีอิ้ว + น้ำอัดลม (0.40)	D05 โอเซี่ยนวอเทอร์ (0.37)	K15 ไก่ทอดเกาหลี (0.36)	R05 ข้าวผัดกิมจิไก่ทอด (0.34)	R02 ข้าวไก่ทอดเทอริยากิรสเผ็ด (0.34)
M03 ซุปกิมจิ	5.ไก่ทอดดั๊กกังจอง รสเผ็ดและชีส (0.66)	ลาบมาม่าเกาหลีไก่ทอด ไข่ดองซีอิ้ว (0.65)	A01 เฟรนซ์ฟรายโรยชีส (0.64)	N01 บะหมี่แห้งไก่ทอดรสเผ็ด (0.62)	M01 ข้าวยำบิบิมบับ (0.62)
S05 ปลาหมึกทอด รสเกลือกระเทียม	M01 ข้าวยำบิบิมบับ (0.66)	A06 เกี๊ยวซ่าเกาหลี (0.59)	K01 ไก่ทอดเกาหลี (0.58)	ข้าวผัดกิมจิไก่ทอดลาบ ไข่ดองซีอิ้ว (0.55)	M03 ซุปกิมจิ (0.52)
ไก่ทอดเกาหลี Size Mชีส	ไก่ทอดเกาหลี Size M (0.84)	A04 ซุปมิโซะ (0.63)	N01 บะหมี่แห้งไก่ทอดรสเผ็ด (0.52)	A05 ลาวา/เฟรนช์ฟรายส์ (0.49)	A08 ฮ็อกไกโดชีสสติ๊ก (0.46)
S01 กุ้งทอดเกาหลี	D13 น้ำอัดลม 22 ออนซ์ (0.42)	A01 โรยชีส/เฟรนช์ฟรายส์ (0.07)	ข้าวไก่ทอดสามสี ไข่ข้นลาวา (0.06)	C12 สะโพก ไก่ทอดเกาหลี (0.06)	K02 ไก่ทอดเกาหลี (0.06)
C03 ปีก ไก่ทอดเกาหลี	C11 สะโพก ไก่ทอดเกาหลี (0.61)	K16 ไก่ทอดเกาหลี (0.50)	S06 สลัดยำกิมจิและสาหร่าย (0.49)	1.ไก่ทอดดั๊กกังจอง รสชีสซี่คอร์นชีส (0.46)	K09 ไก่ทอดเกาหลี (0.45)
R09 ข้าวไก่ทอดรสเผ็ด และ สาหร่าย	S01 สลัดซีซ่าร์ปลาหมึกกระเทียม (0.52)	D06 แคนดี้พันช์โซดา (0.48)	C10 สะโพก ไก่ทอดเกาหลี (0.47)	N01 บะหมี่แห้งไก่ทอดรสเผ็ด (0.45)	N07 บะหมี่หมูสับชุปกระดูกหมูข้น (0.45)
ไก่ทอดเกาหลี Size M	ไก่ทอดเกาหลี Size Mชีส (0.84)	A04 ซุปมิโซะ (0.67)	N01 บะหมี่แห้งไก่ทอดรสเผ็ด (0.59)	A05 เฟรนซ์ฟรายส์ชีสลาวา (0.41)	K09 ไก่ทอดเกาหลี (0.39)
ข้าวผัดกิมจิไก่ทอด ไข่ข้นลาวา	ข้าวไก่ทอดรสเผ็ดสาหร่ายกรอบ ไข่ข้นลาวา (0.78)	บะหมี่แห้งไก่ทอดรสเผ็ดและกิมจิ (0.70)	A03 เฟรนช์ฟรายส์โรยผงโนริสาหร่าย และ ซาวครีม (0.68)	ข้าวไก่ทอดราดซอสเลม่อน ไข่ข้นลาวา (0.61)	ข้าวไก่ทอดราดซอสส้ม ไข่ข้นลาวา (0.61)
ข้าวไก่ทอดเทอริยากิมาโย ไข่ข้นลาวา	ข้าวไก่ทอดลาบสามสี ไข่ดองซี้ว + น้ำอัดลม (0.68)	K11 ไก่ทอดเกาหลี (0.58)	ข้าวไก่ทอดสามสี ไข่ข้นลาวา (0.48)	M02 ต๊อกบกกีชีส (0.46)	D03 พิงค์เลม่อนฮันนี่โซดา (0.44)
N04 บะหมี่บิบิมบับ	S02 สลัดซีซ่าร์ปลาทอด (0.81)	ปีกไก่ทอดรสลาบ Size M (0.79)	2.ไก่ทอดดั๊กกังจอง รสชีสซี่คอร์นชีส (0.76)	ข้าวผัดกิมจิไก่ทอดสามสี (0.71)	D10 น้ำบลูแอปเปิ่ลโซดา (0.62)
S02 ปลาหมึกทอดเกาหลี	D13 น้ำอัดลม 16 ออนซ์ (0.58)	A06 เกี๊ยวซ่าเกาหลี (0.55)	C10 สะโพก ไก่ทอดเกาหลี (0.53)	R07 ข้าวคลุกสาหร่ายไก่ทอดเกาหลี (0.52)	M01 ข้าวยำบิบิมบับ (0.51)
R14 ข้าวไก่ทอดกระเทียมกรอบ	K04 ไก่ทอดเกาหลี (0.46)	N07 บะหมี่หมูสับชุปกระดูกหมูข้น (0.36)	N08 บะหมี่กิมจิ เต้าหู้ปลา ชุปกระดูกหมูข้น (0.35)	R08 ข้าวไก่ทอดราดซอสเลม่อน (0.31)	R05 ข้าวผัดกิมจิไก่ทอด (0.28)
ข้าวไก่ทอดราดซอสเลม่อน ไข่ข้นลาวา	ข้าวไก่ทอดรสเผ็ดสาหร่ายกรอบ ไข่ข้นลาวา (0.63)	บะหมี่แห้งไก่ทอดรสเผ็ดและกิมจิ (0.61)	ข้าวผัดกิมจิไก่ทอด ไข่ข้นลาวา (0.61)	A03 เฟรนช์ฟรายส์โรยผงโนริสาหร่าย และ ซาวครีม (0.54)	M01 ข้าวยำบิบิมบับ (0.50)
ข้าวไก่ทอดราดซอสส้ม ไข่ข้นลาวา	ข้าวผัดกิมจิไก่ทอด ไข่ข้นลาวา (0.61)	C10 สะโพก ไก่ทอดเกาหลี (0.60)	D08 แตงโมโซดา (0.51)	ข้าวไก่ทอดลาด ไข่ดองซีอิ้ว + น้ำอัดลม (0.51)	ข้าวไก่ทอดลาบกระเทียมกรอบ ไข่ดองซีอิ้ว + น้ำอัดลม (0.51)
C02 ปีก ไก่ทอดเกาหลี	A05 กิมจิ (0.60)	C10 สะโพก ไก่ทอดเกาหลี (0.56)	ข้าวไก่ทอดลาด ไข่ดองซีอิ้ว + น้ำอัดลม (0.52)	N01 บะหมี่แห้งไก่ทอดรสเผ็ด (0.51)	5.ไก่ทอดดั๊กกังจอง รสเผ็ดและชีส (0.49)
C12 สะโพก ไก่ทอดเกาหลี	K02 ไก่ทอดเกาหลี (0.53)	A01 โรยชีส/เฟรนช์ฟรายส์ (0.44)	C10 สะโพก ไก่ทอดเกาหลี (0.38)	ข้าวไก่ทอดราดซอสส้ม ไข่ข้นลาวา (0.37)	ข้าวผัดกิมจิไก่ทอด ไข่ข้นลาวา (0.31)
ข้าวไก่ทอดรสเผ็ดสาหร่ายกรอบ ไข่ข้นลาวา	ข้าวผัดกิมจิไก่ทอด ไข่ข้นลาวา (0.78)	บะหมี่แห้งไก่ทอดรสเผ็ดและกิมจิ (0.65)	ข้าวไก่ทอดลาด ไข่ดองซีอิ้ว + น้ำอัดลม (0.63)	ข้าวไก่ทอดราดซอสเลม่อน ไข่ข้นลาวา (0.63)	A03 เฟรนช์ฟรายส์โรยผงโนริสาหร่าย และ ซาวครีม (0.61)
แอปไข่ดองซีอิ้ว	D13 น้ำอัดลม 16 ออนซ์ (0.00)	A03 เฟรนช์ฟรายส์โรยผงโนริสาหร่าย และ ซาวครีม (0.00)	N06 บะหมี่ แฮมและใส้กรอกชุปกระดูกหมูข้น (0.00)	A05 ลาวา/เฟรนช์ฟรายส์ (0.00)	A01 โรยชีส/เฟรนช์ฟรายส์ (0.00)
ลาบมาม่าเกาหลีไก่ทอด ไข่ดองซีอิ้ว	M03 ซุปกิมจิ (0.65)	M01 ข้าวยำบิบิมบับ (0.64)	5.ไก่ทอดดั๊กกังจอง รสเผ็ดและชีส (0.58)	N03 บะหมี่ผัดกิมจิปูอัดไข่กุ้ง (0.57)	N01 บะหมี่แห้งไก่ทอดรสเผ็ด (0.57)
K07 ไก่ทอดเกาหลี	C10 สะโพก ไก่ทอดเกาหลี (0.52)	K09 ไก่ทอดเกาหลี (0.46)	N01 บะหมี่แห้งไก่ทอดรสเผ็ด (0.45)	ข้าวไก่ทอดลาด ไข่ดองซีอิ้ว + น้ำอัดลม (0.43)	A06 เกี๊ยวซ่าเกาหลี (0.42)
ข้าวไก่ทอดสามสี ไข่ข้นลาวา	N01 บะหมี่แห้งไก่ทอดรสเผ็ด (0.60)	D03 พิงค์เลม่อนฮันนี่โซดา (0.58)	ข้าวผัดกิมจิไก่ทอด ไข่ข้นลาวา (0.55)	ข้าวไก่ทอดรสเผ็ดสาหร่ายกรอบ ไข่ข้นลาวา (0.55)	M03 ซุปกิมจิ (0.54)
N09 บะหมี่เกี๊ยวมันดู ชุปกระดูกหมูข้น	R03 ข้าวไก่ทอดเทอริยากิมาโย (0.91)	ข้าวไก่ทอดลาบสาหร่ายกรอบ ไข่ดองซีอิ้ว + น้ำอัดลม (0.79)	ข้าวผัดกิมจิไก่ทอดชีส (0.60)	ข้าวไก่ทอดลาบสามสี ไข่ดองซี้ว + น้ำอัดลม (0.52)	D13 น้ำอัดลม 16 ออนซ์ (0.18)
S04 สลัดปูอัดไข่กุ้งรสเผ็ด	R10 ข้าวทะเลทอดราดซอสเลม่อน (0.57)	M03 ซุปกิมจิ (0.54)	3.ไก่ทอดดั๊กกังจอง รสน้ำผึ้งคาราเมลชีส (0.54)	S04 ปลาทอดกรอบ รสเกลือกระเทียม (0.54)	A09 ไก่ป๊อปเกาหลี (0.51)
C01 ปีก ไก่ทอดเกาหลี	A05 ลาวา/เฟรนช์ฟรายส์ (0.66)	A08 ฮ็อกไกโดชีสสติ๊ก (0.61)	R02 ข้าวไก่ทอดเทอริยากิรสเผ็ด (0.60)	K09 ไก่ทอดเกาหลี (0.46)	D05 โอเซี่ยนวอเทอร์ (0.44)
S04 ปลาทอดกรอบ รสเกลือกระเทียม	3.ไก่ทอดดั๊กกังจอง รสน้ำผึ้งคาราเมลชีส (0.66)	S04 สลัดปูอัดไข่กุ้งรสเผ็ด (0.54)	D08 แตงโมโซดา (0.51)	ข้าวไก่ทอดราดซอสส้ม ไข่ข้นลาวา (0.50)	D03 พิงค์เลม่อนฮันนี่โซดา (0.50)
ปีกไก่ทอดรสลาบ Size S	K14 ไก่ทอดเกาหลี (0.54)	ข้าวไก่ทอดราดซอสส้ม ไข่ข้นลาวา (0.47)	ข้าวไก่ทอดและกิมจิ (0.43)	D07 บ๊วยโซดา (0.41)	A10 ไก่ป๊อปราดชีสซอส (0.41)
ข้าวไก่ทอดลาบสามสี ไข่ดองซีอิ้ว	CHEESY (1.00)	M03 ซุปกิมจิ (0.16)	ซุปกิมจิ (0.14)	K12 ไก่ทอดเกาหลี (0.14)	A01 โควสลอว์ (0.13)
ข้าวไก่ทอดลาด ไข่ดองซีอิ้ว + น้ำอัดลม	ข้าวไก่ทอดลาบกระเทียมกรอบ ไข่ดองซีอิ้ว + น้ำอัดลม (0.73)	ข้าวไก่ทอดรสเผ็ดสาหร่ายกรอบ ไข่ข้นลาวา (0.63)	M03 ซุปกิมจิ (0.59)	K09 ไก่ทอดเกาหลี (0.59)	ข้าวผัดกิมจิไก่ทอด ไข่ข้นลาวา (0.59)
ทรัฟเฟิลดิปซอส	K07 ไก่ทอดเกาหลี (0.29)	C06 น่อง ไก่ทอดเกาหลี (0.27)	S02 ปลาหมึกทอดเกาหลี (0.26)	M03 ซุปกิมจิ (0.23)	N10 บะหมี่ไก่ทอดชุปกระดูกหมูข้น (0.23)
R01 ข้าวทะเลทอดราดซอสส้ม	D08 แตงโมโซดา (0.45)	C02 ปีก ไก่ทอดเกาหลี (0.45)	K12 ไก่ทอดเกาหลี (0.44)	N02 บะหมี่เกาหลีน้ำ (0.44)	K09 ไก่ทอดเกาหลี (0.44)
S02 สลัดซีซ่าร์ปลาทอด	ปีกไก่ทอดรสลาบ Size M (0.81)	N04 บะหมี่บิบิมบับ (0.81)	ข้าวผัดกิมจิไก่ทอดสามสี (0.73)	2.ไก่ทอดดั๊กกังจอง รสชีสซี่คอร์นชีส (0.71)	D10 น้ำบลูแอปเปิ่ลโซดา (0.57)
สลัดยำเกาหลี	D13 น้ำอัดลม 16 ออนซ์ (0.00)	A05 ลาวา/เฟรนช์ฟรายส์ (0.00)	A01 โรยชีส/เฟรนช์ฟรายส์ (0.00)	R02 ข้าวไก่ทอดเทอริยากิรสเผ็ด (0.00)	R03 ข้าวไก่ทอดเทอริยากิมาโย (0.00)
C14 ผสม ไก่ทอดเกาหลี	R07 ข้าวคลุกสาหร่ายไก่ทอดเกาหลี (0.47)	C10 สะโพก ไก่ทอดเกาหลี (0.47)	D08 แตงโมโซดา (0.46)	N01 บะหมี่แห้งไก่ทอดรสเผ็ด (0.45)	K15 ไก่ทอดเกาหลี (0.43)
S01 สลัดซีซ่าร์ปลาหมึกกระเทียม	R09 ข้าวไก่ทอดรสเผ็ด และ สาหร่าย (0.52)	R11 ข้าวไก่ทอดเกาหลีและผัดผัก (0.48)	D06 แคนดี้พันช์โซดา (0.46)	ข้าวไก่ทอดรสเผ็ดสาหร่ายกรอบ ไข่ข้นลาวา (0.42)	D05 โอเซี่ยนวอเทอร์ (0.40)
S03 สลัดกุ้งทอดรสเผ็ด	D08 แตงโมโซดา (0.41)	D03 พิงค์เลม่อนฮันนี่โซดา (0.36)	C02 ปีก ไก่ทอดเกาหลี (0.34)	ข้าวไก่ทอดสามสี ไข่ข้นลาวา (0.34)	ข้าวผัดกิมจิไก่ทอด ไข่ข้นลาวา (0.33)
K13 ไก่ทอดเกาหลี	R01 ข้าวทะเลทอดราดซอสส้ม (0.41)	D08 แตงโมโซดา (0.41)	S04 ปลาทอดกรอบ รสเกลือกระเทียม (0.35)	K05 ไก่ทอดเกาหลี (0.34)	N08 บะหมี่กิมจิ เต้าหู้ปลา ชุปกระดูกหมูข้น (0.33)
A02 ผงกิมจิ/เฟรนช์ฟรายส์	K08 ไก่ทอดเกาหลี (0.39)	K12 ไก่ทอดเกาหลี (0.37)	K04 ไก่ทอดเกาหลี (0.35)	C10 สะโพก ไก่ทอดเกาหลี (0.23)	A01 โควสลอว์ (0.22)
ปีกไก่ทอดรสลาบ Size XL	3.ไก่ทอดดั๊กกังจอง รสน้ำผึ้งคาราเมลชีส (0.27)	A01 โควสลอว์ (0.23)	5.ไก่ทอดดั๊กกังจอง รสเผ็ดและชีส (0.22)	ข้าวกุ้งทอดสไปซี่มาโย (0.21)	ข้าวไก่ทอดลาด ไข่ดองซีอิ้ว + น้ำอัดลม (0.21)
ข้าวไก่ทอดลาบสามสี ไข่ดองซี้ว + น้ำอัดลม	ข้าวไก่ทอดเทอริยากิมาโย ไข่ข้นลาวา (0.68)	K11 ไก่ทอดเกาหลี (0.52)	N09 บะหมี่เกี๊ยวมันดู ชุปกระดูกหมูข้น (0.52)	R03 ข้าวไก่ทอดเทอริยากิมาโย (0.52)	ข้าวไก่ทอดลาบสาหร่ายกรอบ ไข่ดองซีอิ้ว + น้ำอัดลม (0.50)
ข้าวไก่ทอดลาบกระเทียมกรอบ ไข่ดองซีอิ้ว + น้ำอัดลม	ข้าวไก่ทอดลาด ไข่ดองซีอิ้ว + น้ำอัดลม (0.73)	ข้าวไก่ทอดรสเผ็ดสาหร่ายกรอบ ไข่ข้นลาวา (0.56)	ข้าวผัดกิมจิไก่ทอด ไข่ข้นลาวา (0.56)	M03 ซุปกิมจิ (0.55)	C10 สะโพก ไก่ทอดเกาหลี (0.54)
D12 ชาเขียว	1.ไก่ทอดดั๊กกังจอง รสคอร์นชีส (0.70)	M03 ซุปกิมจิ (0.59)	A01 เฟรนซ์ฟรายโรยชีส (0.53)	ข้าวผัดกิมจิไก่ทอดชีส (0.52)	ข้าวไก่ทอดลาบสาหร่ายกรอบ ไข่ดองซีอิ้ว + น้ำอัดลม (0.48)
ข้าวไก่ทอดลาบสาหร่ายกรอบ ไข่ดองซีอิ้ว + น้ำอัดลม	N09 บะหมี่เกี๊ยวมันดู ชุปกระดูกหมูข้น (0.79)	ข้าวผัดกิมจิไก่ทอดชีส (0.79)	R03 ข้าวไก่ทอดเทอริยากิมาโย (0.74)	1.ไก่ทอดดั๊กกังจอง รสคอร์นชีส (0.50)	ข้าวไก่ทอดลาบสามสี ไข่ดองซี้ว + น้ำอัดลม (0.50)
D13 น้ำอัดลม 22 ออนซ์	N01 บะหมี่แห้งไก่ทอดรสเผ็ด (0.50)	M03 ซุปกิมจิ (0.49)	D03 พิงค์เลม่อนฮันนี่โซดา (0.48)	A06 เกี๊ยวซ่าเกาหลี (0.47)	D05 โอเซี่ยนวอเทอร์ (0.46)
D10 น้ำบลูแอปเปิ่ลโซดา	D05 โอเซี่ยนวอเทอร์ (0.74)	N04 บะหมี่บิบิมบับ (0.62)	2.ไก่ทอดดั๊กกังจอง รสชีสซี่คอร์นชีส (0.62)	ปีกไก่ทอดรสลาบ Size M (0.61)	D07 บ๊วยโซดา (0.58)
D02 ฮันนี่แอปเปิ้ลโซดา	D01 ลาเวนเดอร์เลมอนเนด (0.93)	K10 ไก่ทอดเกาหลี (0.75)	ซุปกิมจิ (0.69)	R06 ข้าวไก่ทอดราดซอสส้ม (0.26)	A03 ข้าวญี่ปุ่น (0.25)
A05 กิมจิ	C02 ปีก ไก่ทอดเกาหลี (0.60)	C10 สะโพก ไก่ทอดเกาหลี (0.53)	ข้าวไก่ทอดลาด ไข่ดองซีอิ้ว + น้ำอัดลม (0.48)	5.ไก่ทอดดั๊กกังจอง รสเผ็ดและชีส (0.48)	K12 ไก่ทอดเกาหลี (0.46)
C04 ปีก ไก่ทอดเกาหลี	S01 สลัดซีซ่าร์ปลาหมึกกระเทียม (0.28)	3.ไก่ทอดดั๊กกังจอง รสน้ำผึ้งคาราเมลชีส (0.20)	K02 ไก่ทอดเกาหลี (0.19)	D03 พิงค์เลม่อนฮันนี่โซดา (0.18)	N07 บะหมี่หมูสับชุปกระดูกหมูข้น (0.17)
S06 สลัดยำกิมจิและสาหร่าย	C03 ปีก ไก่ทอดเกาหลี (0.49)	ปีกไก่ทอดรสลาบ Size L (0.49)	D03 พิงค์เลม่อนฮันนี่โซดา (0.46)	D05 โอเซี่ยนวอเทอร์ (0.45)	C11 สะโพก ไก่ทอดเกาหลี (0.45)
C15 ผสม ไก่ทอดเกาหลี	S04 สลัดปูอัดไข่กุ้งรสเผ็ด (0.45)	R05 ข้าวผัดกิมจิไก่ทอด (0.45)	R10 ข้าวทะเลทอดราดซอสเลม่อน (0.44)	N02 บะหมี่เกาหลีน้ำ (0.44)	1.ไก่ทอดดั๊กกังจอง รสชีสซี่คอร์นชีส (0.42)
A04 ซอสส้ม/เฟรนช์ฟรายส์	R08 ข้าวไก่ทอดราดซอสเลม่อน (0.42)	ปีกไก่ทอดรสลาบ Size S (0.37)	R12 ข้าวไก่ทอดสามสี (0.34)	A08 ฮ็อกไกโดชีสสติ๊ก (0.32)	A02 เฟรนซ์ฟรายส์โรยผงกิมจิ (0.31)
D08 แตงโมโซดา	D07 บ๊วยโซดา (0.63)	D03 พิงค์เลม่อนฮันนี่โซดา (0.62)	N01 บะหมี่แห้งไก่ทอดรสเผ็ด (0.60)	M01 ข้าวยำบิบิมบับ (0.58)	A07 ทาโกยากิ (0.58)
ปีกไก่ทอดรสลาบ Size L	S06 สลัดยำกิมจิและสาหร่าย (0.49)	D05 โอเซี่ยนวอเทอร์ (0.33)	A01 โรยชีส/เฟรนช์ฟรายส์ (0.32)	ข้าวไก่ทอดลาด ไข่ดองซีอิ้ว + น้ำอัดลม (0.30)	C10 สะโพก ไก่ทอดเกาหลี (0.26)
C06 น่อง ไก่ทอดเกาหลี	K07 ไก่ทอดเกาหลี (0.42)	A01 โควสลอว์ (0.41)	N07 บะหมี่หมูสับชุปกระดูกหมูข้น (0.40)	S04 ปลาทอดกรอบ รสเกลือกระเทียม (0.35)	A10 ไก่ป๊อปราดชีสซอส (0.33)
D07 บ๊วยโซดา	D08 แตงโมโซดา (0.63)	D10 น้ำบลูแอปเปิ่ลโซดา (0.58)	N01 บะหมี่แห้งไก่ทอดรสเผ็ด (0.53)	A09 ไก่ป๊อปเกาหลี (0.53)	K14 ไก่ทอดเกาหลี (0.53)
S03 ปลาทอดเกาหลี	K03 ไก่ทอดเกาหลี (0.82)	R04 ข้าวผัดกิมจิทะเลทอด (0.80)	N01 บะหมี่แห้งไก่ทอดรสเผ็ด (0.47)	K10 ไก่ทอดเกาหลี (0.46)	A01 เฟรนซ์ฟรายโรยชีส (0.42)
D03 พิงค์เลม่อนฮันนี่โซดา	R02 ข้าวไก่ทอดเทอริยากิรสเผ็ด (0.65)	K09 ไก่ทอดเกาหลี (0.65)	N01 บะหมี่แห้งไก่ทอดรสเผ็ด (0.65)	D05 โอเซี่ยนวอเทอร์ (0.64)	D08 แตงโมโซดา (0.62)
C07 น่อง ไก่ทอดเกาหลี	K12 ไก่ทอดเกาหลี (0.47)	A05 กิมจิ (0.44)	C02 ปีก ไก่ทอดเกาหลี (0.40)	R01 ข้าวทะเลทอดราดซอสส้ม (0.39)	C14 ผสม ไก่ทอดเกาหลี (0.38)
C16 ผสม ไก่ทอดเกาหลี	ข้าวไก่ทอดลาด ไข่ดองซีอิ้ว + น้ำอัดลม (0.38)	R09 ข้าวไก่ทอดรสเผ็ด และ สาหร่าย (0.38)	ข้าวไก่ทอดลาบกระเทียมกรอบ ไข่ดองซีอิ้ว + น้ำอัดลม (0.34)	ข้าวไก่ทอดรสเผ็ดสาหร่ายกรอบ ไข่ข้นลาวา (0.32)	5.ไก่ทอดดั๊กกังจอง รสเผ็ดและชีส (0.31)
S05 สลัดซีซาร์กุ้งทอด	ข้าวผัดกิมจิไก่ทอดไข่กุ้งล้น (0.48)	A02 เฟรนซ์ฟรายส์โรยผงกิมจิ (0.47)	R02 ข้าวไก่ทอดเทอริยากิรสเผ็ด (0.45)	D07 บ๊วยโซดา (0.45)	D08 แตงโมโซดา (0.42)
C13 ผสม ไก่ทอดเกาหลี	C10 สะโพก ไก่ทอดเกาหลี (0.33)	ข้าวไก่ทอดลาบกระเทียมกรอบ ไข่ดองซีอิ้ว + น้ำอัดลม (0.33)	A10 ไก่ป๊อปราดชีสซอส (0.32)	ข้าวไก่ทอดลาด ไข่ดองซีอิ้ว + น้ำอัดลม (0.32)	C02 ปีก ไก่ทอดเกาหลี (0.31)
D06 แคนดี้พันช์โซดา	D10 น้ำบลูแอปเปิ่ลโซดา (0.54)	D03 พิงค์เลม่อนฮันนี่โซดา (0.52)	D05 โอเซี่ยนวอเทอร์ (0.52)	A02 เฟรนซ์ฟรายส์โรยผงกิมจิ (0.50)	ข้าวไก่ทอดรสเผ็ดสาหร่ายกรอบ ไข่ข้นลาวา (0.49)
D09 ซีทรัสโซดา	A03 เฟรนช์ฟรายส์โรยผงโนริสาหร่าย และ ซาวครีม (0.84)	บะหมี่แห้งไก่ทอดรสเผ็ดและกิมจิ (0.68)	ข้าวผัดกิมจิไก่ทอด ไข่ข้นลาวา (0.57)	ข้าวไก่ทอดรสเผ็ดสาหร่ายกรอบ ไข่ข้นลาวา (0.50)	ข้าวไก่ทอดราดซอสเลม่อน ไข่ข้นลาวา (0.46)
A04 เฟรนซ์ฟรายซอสส้มไข่กุ้ง	C09 สะโพก ไก่ทอดเกาหลี (0.76)	BACON CHEESY FRIES (0.69)	N02 บะหมี่เกาหลีน้ำ (0.36)	S04 สลัดปูอัดไข่กุ้งรสเผ็ด (0.33)	S01 สลัดซีซ่าร์ปลาหมึกกระเทียม (0.31)
A02 เฟรนซ์ฟรายส์โรยผงกิมจิ	M03 ซุปกิมจิ (0.55)	N01 บะหมี่แห้งไก่ทอดรสเผ็ด (0.55)	D06 แคนดี้พันช์โซดา (0.50)	A06 เกี๊ยวซ่าเกาหลี (0.48)	ข้าวไก่ทอดรสเผ็ดสาหร่ายกรอบ ไข่ข้นลาวา (0.48)
A01 เฟรนซ์ฟรายโรยชีส	N03 บะหมี่ผัดกิมจิปูอัดไข่กุ้ง (0.65)	M03 ซุปกิมจิ (0.64)	N05 บะหมี่แห้งไก่ทอดชีส (0.57)	5.ไก่ทอดดั๊กกังจอง รสเผ็ดและชีส (0.55)	ลาบมาม่าเกาหลีไก่ทอด ไข่ดองซีอิ้ว (0.54)
A05 เฟรนซ์ฟรายส์ชีสลาวา	ข้าวกุ้งทอดรสเผ็ดและสาหร่ายกรอบ (0.76)	N01 บะหมี่แห้งไก่ทอดรสเผ็ด (0.49)	4.ไก่ทอดดั๊กกังจอง รสน้ำผึ้งคาราเมล (0.48)	A04 ซุปมิโซะ (0.46)	N02 บะหมี่เกาหลีน้ำ (0.42)
BACON CHEESY FRIES	C09 สะโพก ไก่ทอดเกาหลี (0.70)	A04 เฟรนซ์ฟรายซอสส้มไข่กุ้ง (0.69)	ข้าวไก่ทอดราดซอสส้ม ไข่ข้นลาวา (0.42)	5.ไก่ทอดดั๊กกังจอง รสเผ็ดและชีส (0.42)	M03 ซุปกิมจิ (0.41)
M01 ข้าวยำบิบิมบับ	A06 เกี๊ยวซ่าเกาหลี (0.66)	S05 ปลาหมึกทอด รสเกลือกระเทียม (0.66)	ลาบมาม่าเกาหลีไก่ทอด ไข่ดองซีอิ้ว (0.64)	N01 บะหมี่แห้งไก่ทอดรสเผ็ด (0.63)	M03 ซุปกิมจิ (0.62)
แอปซุปมิโซะ	ข้าวไก่ทอดราดซอสส้ม (0.79)	A01 โควสลอว์ (0.24)	M03 ซุปกิมจิ (0.16)	ข้าวไก่ทอดลาด ไข่ดองซีอิ้ว + น้ำอัดลม (0.16)	ข้าวไก่ทอดลาบกระเทียมกรอบ ไข่ดองซีอิ้ว + น้ำอัดลม (0.15)
A04 ซุปมิโซะ	ไก่ทอดเกาหลี Size M (0.67)	ไก่ทอดเกาหลี Size Mชีส (0.63)	N01 บะหมี่แห้งไก่ทอดรสเผ็ด (0.57)	N02 บะหมี่เกาหลีน้ำ (0.50)	A05 เฟรนซ์ฟรายส์ชีสลาวา (0.46)
A01 โควสลอว์	C06 น่อง ไก่ทอดเกาหลี (0.41)	ข้าวไก่ทอดลาด ไข่ดองซีอิ้ว + น้ำอัดลม (0.41)	M03 ซุปกิมจิ (0.39)	C11 สะโพก ไก่ทอดเกาหลี (0.39)	N07 บะหมี่หมูสับชุปกระดูกหมูข้น (0.36)
D01 ลาเวนเดอร์เลมอนเนด	D02 ฮันนี่แอปเปิ้ลโซดา (0.93)	K10 ไก่ทอดเกาหลี (0.78)	ซุปกิมจิ (0.71)	A03 ข้าวญี่ปุ่น (0.26)	R05 ข้าวผัดกิมจิไก่ทอด (0.23)
