label	1st	2nd	3rd	4th	5th
1.ไก่ทอดดั๊กกังจอง รสคอร์นชีส	D12 ชาเขียว (0.70)	ข้าวผัดกิมจิไก่ทอดชีส (0.57)	ข้าวไก่ทอดลาบสาหร่ายกรอบ ไข่ดองซีอิ้ว + น้ำอัดลม (0.50)	ข้าวกุ้งทอดพริกกระเทียม (0.47)	M03 ซุปกิมจิ (0.45)
2.ไก่ทอดดั๊กกังจอง รสชีสซี่คอร์นชีส	N04 บะหมี่บิบิมบับ (0.76)	S02 สลัดซีซ่าร์ปลาทอด (0.71)	ปีกไก่ทอดรสลาบ Size M (0.71)	ข้าวผัดกิมจิไก่ทอดสามสี (0.70)	D10 น้ำบลูแอปเปิ่ลโซดา (0.62)
3.ไก่ทอดดั๊กกังจอง รสน้ำผึ้งคาราเมลชีส	S04 ปลาทอดกรอบ รสเกลือกระเทียม (0.66)	5.ไก่ทอดดั๊กกังจอง รสเผ็ดและชีส (0.56)	C10 สะโพก ไก่ทอดเกาหลี (0.56)	S04 สลัดปูอัดไข่กุ้งรสเผ็ด (0.54)	R10 ข้าวทะเลทอดราดซอสเลม่อน (0.52)
4.ไก่ทอดดั๊กกังจอง รสน้ำผึ้งคาราเมล	6.ไก่ทอดดั๊กกังจอง รสเผ็ด (0.74)	ข้าวกุ้งทอดรสเผ็ดและสาหร่ายกรอบ (0.59)	A05 เฟรนซ์ฟรายส์ชีสลาวา (0.48)	ข้าวกุ้งทอดพริกกระเทียม (0.17)	5.ไก่ทอดดั๊กกังจอง รสเผ็ดและชีส (0.16)
5.ไก่ทอดดั๊กกังจอง รสเผ็ดและชีส	M03 ซุปกิมจิ (0.66)	K09 ไก่ทอดเกาหลี (0.60)	C10 สะโพก ไก่ทอดเกาหลี (0.59)	ลาบมาม่าเกาหลีไก่ทอด ไข่ดองซีอิ้ว (0.58)	ข้าวกุ้งทอดพริกกระเทียม (0.56)
6.ไก่ทอดดั๊กกังจอง รสเผ็ด	4.ไก่ทอดดั๊กกังจอง รสน้ำผึ้งคาราเมล (0.74)	5.ไก่ทอดดั๊กกังจอง รสเผ็ดและชีส (0.42)	1.ไก่ทอดดั๊กกังจอง รสคอร์นชีส (0.40)	ข้าวผัดกิมจิไก่ทอดชีส (0.38)	M03 ซุปกิมจิ (0.37)
1.ไก่ทอดดั๊กกังจอง รสชีสซี่คอร์นชีส	K16 ไก่ทอดเกาหลี (0.80)	C03 ปีก ไก่ทอดเกาหลี (0.46)	C15 ผสม ไก่ทอดเกาหลี (0.42)	C11 สะโพก ไก่ทอดเกาหลี (0.39)	S06 สลัดยำกิมจิและสาหร่าย (0.35)
12 ไก่ทอดเกาหลีชีส	A02 ผงกิมจิ/เฟรนช์ฟรายส์ (0.21)	K12 ไก่ทอดเกาหลี (0.17)	ข้าวไก่ทอดราดซอสส้ม (0.13)	แอปซุปมิโซะ (0.13)	C02 ปีก ไก่ทอดเกาหลี (0.12)
2.ไก่ทอดดั๊กกังจอง รสคอร์นชีส	ข้าวไก่ทอดราดซอสส้ม ไข่ข้นลาวา (0.28)	R09 ข้าวไก่ทอดรสเผ็ด และ สาหร่าย (0.28)	N07 บะหมี่หมูสับชุปกระดูกหมูข้น (0.26)	K15 ไก่ทอดเกาหลี (0.26)	A09 ไก่ป๊อปเกาหลี (0.24)
K12 ไก่ทอดเกาหลี	K09 ไก่ทอดเกาหลี (0.51)	C02 ปีก ไก่ทอดเกาหลี (0.49)	C07 น่อง ไก่ทอดเกาหลี (0.47)	N01 บะหมี่แห้งไก่ทอดรสเผ็ด (0.47)	5.ไก่ทอดดั๊กกังจอง รสเผ็ดและชีส (0.46)
A08 ฮ็อกไกโดชีสสติ๊ก	C01 ปีก ไก่ทอดเกาหลี (0.61)	A05 ลาวา/เฟรนช์ฟรายส์ (0.53)	R02 ข้าวไก่ทอดเทอริยากิรสเผ็ด (0.52)	D03 พิงค์เลม่อนฮันนี่โซดา (0.50)	D05 โอเซี่ยนวอเทอร์ (0.47)
R11 ข้าวไก่ทอดเกาหลีและผัดผัก	S01 สลัดซีซ่าร์ปลาหมึกกระเทียม (0.48)	R05 ข้าวผัดกิมจิไก่ทอด (0.47)	ปีกไก่ทอดรสลาบ Size S (0.38)	N10 บะหมี่ไก่ทอดชุปกระดูกหมูข้น (0.37)	R06 ข้าวไก่ทอดราดซอสส้ม (0.35)
K09 ไก่ทอดเกาหลี	D03 พิงค์เลม่อนฮันนี่โซดา (0.65)	C10 สะโพก ไก่ทอดเกาหลี (0.63)	N01 บะหมี่แห้งไก่ทอดรสเผ็ด (0.61)	R07 ข้าวคลุกสาหร่ายไก่ทอดเกาหลี (0.61)	5.ไก่ทอดดั๊กกังจอง รสเผ็ดและชีส (0.60)
K02 ไก่ทอดเกาหลี	C10 สะโพก ไก่ทอดเกาหลี (0.65)	R07 ข้าวคลุกสาหร่ายไก่ทอดเกาหลี (0.60)	K09 ไก่ทอดเกาหลี (0.56)	N01 บะหมี่แห้งไก่ทอดรสเผ็ด (0.55)	M03 ซุปกิมจิ (0.55)
K04 ไก่ทอดเกาหลี	R14 ข้าวไก่ทอดกระเทียมกรอบ (0.46)	C14 ผสม ไก่ทอดเกาหลี (0.42)	C02 ปีก ไก่ทอดเกาหลี (0.39)	A02 ผงกิมจิ/เฟรนช์ฟรายส์ (0.35)	N08 บะหมี่กิมจิ เต้าหู้ปลา ชุปกระดูกหมูข้น (0.33)
R07 ข้าวคลุกสาหร่ายไก่ทอดเกาหลี	N01 บะหมี่แห้งไก่ทอดรสเผ็ด (0.62)	K05 ไก่ทอดเกาหลี (0.61)	K09 ไก่ทอดเกาหลี (0.61)	A06 เกี๊ยวซ่าเกาหลี (0.60)	R12 ข้าวไก่ทอดสามสี (0.60)
K10 ไก่ทอดเกาหลี	D01 ลาเวนเดอร์เลมอนเนด (0.78)	D02 ฮันนี่แอปเปิ้ลโซดา (0.75)	ซุปกิมจิ (0.71)	N01 บะหมี่แห้งไก่ทอดรสเผ็ด (0.52)	K09 ไก่ทอดเกาหลี (0.49)
N01 บะหมี่แห้งไก่ทอดรสเผ็ด	D03 พิงค์เลม่อนฮันนี่โซดา (0.65)	A06 เกี๊ยวซ่าเกาหลี (0.65)	M01 ข้าวยำบิบิมบับ (0.63)	M03 ซุปกิมจิ (0.62)	R07 ข้าวคลุกสาหร่ายไก่ทอดเกาหลี (0.62)
N10 บะหมี่ไก่ทอดชุปกระดูกหมูข้น	R05 ข้าวผัดกิมจิไก่ทอด (0.66)	D13 น้ำอัดลม 16 ออนซ์ (0.56)	K15 ไก่ทอดเกาหลี (0.52)	D03 พิงค์เลม่อนฮันนี่โซดา (0.46)	C10 สะโพก ไก่ทอดเกาหลี (0.46)
K03 ไก่ทอดเกาหลี	R04 ข้าวผัดกิมจิทะเลทอด (0.90)	S03 ปลาทอดเกาหลี (0.82)	K10 ไก่ทอดเกาหลี (0.47)	A01 เฟรนซ์ฟรายโรยชีส (0.46)	N01 บะหมี่แห้งไก่ทอดรสเผ็ด (0.43)
R05 ข้าวผัดกิมจิไก่ทอด	N10 บะหมี่ไก่ทอดชุปกระดูกหมูข้น (0.66)	R02 ข้าวไก่ทอดเทอริยากิรสเผ็ด (0.59)	D13 น้ำอัดลม 16 ออนซ์ (0.55)	D03 พิงค์เลม่อนฮันนี่โซดา (0.51)	R07 ข้าวคลุกสาหร่ายไก่ทอดเกาหลี (0.50)
ปีกไก่ทอดรสลาบ Size M	S02 สลัดซีซ่าร์ปลาทอด (0.81)	N04 บะหมี่บิบิมบับ (0.79)	ข้าวผัดกิมจิไก่ทอดสามสี (0.74)	2.ไก่ทอดดั๊กกังจอง รสชีสซี่คอร์นชีส (0.71)	D10 น้ำบลูแอปเปิ่ลโซดา (0.61)
N02 บะหมี่เกาหลีน้ำ	N01 บะหมี่แห้งไก่ทอดรสเผ็ด (0.59)	R07 ข้าวคลุกสาหร่ายไก่ทอดเกาหลี (0.56)	D08 แตงโมโซดา (0.55)	D03 พิงค์เลม่อนฮันนี่โซดา (0.54)	C10 สะโพก ไก่ทอดเกาหลี (0.54)
